,symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId,ticker
0,GIFI,"GULF ISLAND FABRICATION, INC.","Fabrication, maintenance and servicing within the energy sector and beyond",US,2018.0,Q4,https://lda.senate.gov/filings/public/filing/62108c62-e1fa-4123-b973-1d1bf2a470ef/print/,20000.0,,,,102143,1171,1171-102143,31749,GIFI
1,GIFI,"GULF ISLAND FABRICATION, INC.","Fabrication, maintenance and servicing within the energy sector and beyond",US,2020.0,Q4,https://lda.senate.gov/filings/public/filing/361f5743-edb3-4fdb-970b-7215d9363ff8/print/,60000.0,,,,102143,1171,1171-102143,31749,GIFI
2,GIFI,"GULF ISLAND FABRICATION, INC.","Fabrication, maintenance and servicing within the energy sector and beyond",US,2021.0,Q1,https://lda.senate.gov/filings/public/filing/a7b85ff2-cd57-4786-b04c-201a14005f5c/print/,60000.0,,,,102143,1171,1171-102143,31749,GIFI
3,GIFI,"GULF ISLAND FABRICATION, INC.","Fabrication, maintenance and servicing within the energy sector and beyond",US,2021.0,Q2,https://lda.senate.gov/filings/public/filing/e36537fa-08bf-46b9-9b46-0753ee561b0a/print/,20000.0,,,,102143,1171,1171-102143,31749,GIFI
4,GIFI,"GULF ISLAND FABRICATION, INC.","Fabrication, maintenance and servicing within the energy sector and beyond",US,2021.0,Q3,https://lda.senate.gov/filings/public/filing/6aaba510-d253-4c67-a673-e1e978f87799/print/,20000.0,,,,102143,1171,1171-102143,31749,GIFI
5,GIFI,GULF ISLAND FABRICATION INC,Manufacturing Abricated Metal Product,US,2020.0,Q2,https://lda.senate.gov/filings/public/filing/1447cfe6-be5c-4259-9127-07431518e02d/print/,20000.0,,,,206307,20881,20881-206307,31496,GIFI
6,GIFI,GULF ISLAND FABRICATION INC,Manufacturing Abricated Metal Product,US,2021.0,Q1,https://lda.senate.gov/filings/public/filing/473bb769-a979-483b-b727-21abadf6ca82/print/,30000.0,,,,206307,20881,20881-206307,31496,GIFI
0,ENS,"ENERSYS DELAWARE, INC.",Manufacturer and supplier of industrial bateries.,US,2023.0,Q2,https://lda.senate.gov/filings/public/filing/b788d9b7-eade-4fa2-992c-cc2b71191e52/print/,30000.0,,,,56641,41408,41408-56641,30483,ENS
1,ENS,"ENERSYS DELAWARE, INC.",Manufacturer and supplier of industrial bateries.,US,2023.0,Q3,https://lda.senate.gov/filings/public/filing/bb60cf62-bfca-4e1a-8e1b-ea78f1cbc993/print/,10000.0,,,,56641,41408,41408-56641,30483,ENS
2,ENS,ENERSYS ADVANCED SYSTEMS INC.,A developer and manufacturer of energy storage solutions.,US,2023.0,Q4,https://lda.senate.gov/filings/public/filing/cf9beeea-9a00-402e-aed4-85e6b8e22d5a/print/,80000.0,,,,57062,65191,65191-57062,35579,ENS
3,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2018.0,Q4,https://lda.senate.gov/filings/public/filing/4c3bb800-fc1d-4952-a43e-94ed2691dfca/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
4,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2019.0,Q1,https://lda.senate.gov/filings/public/filing/1104394e-a919-4af9-ba0c-4504352bdab7/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
5,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2019.0,Q2,https://lda.senate.gov/filings/public/filing/b2a2567f-fc3e-4d9f-967f-62e316a95910/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
6,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2019.0,Q3,https://lda.senate.gov/filings/public/filing/039ffd5f-fb7e-4713-99f8-bab82e1f8b3f/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
7,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2019.0,Q4,https://lda.senate.gov/filings/public/filing/e6671f4a-b50f-4cf8-85f2-5b85096881b4/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
8,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2020.0,Q1,https://lda.senate.gov/filings/public/filing/bdf20aff-3620-4204-a587-426a5fba22ef/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
9,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2020.0,Q2,https://lda.senate.gov/filings/public/filing/ea866640-1781-4514-8e1f-027622826d2f/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
10,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2020.0,Q3,https://lda.senate.gov/filings/public/filing/2b70b691-211c-4028-b278-a1830c9ee50d/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
11,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2020.0,Q4,https://lda.senate.gov/filings/public/filing/7907ecfa-d0f8-4be3-af1e-8d79a5fec1eb/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
12,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2021.0,Q1,https://lda.senate.gov/filings/public/filing/9b5c32f4-49c3-4a97-9931-0e5554889a04/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
13,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2021.0,Q2,https://lda.senate.gov/filings/public/filing/1e073e34-f47d-4d23-b2f2-54141705f85a/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
14,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2021.0,Q3,https://lda.senate.gov/filings/public/filing/18152eac-1f17-416e-ae5c-f1adb3e1b220/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
15,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2021.0,Q4,https://lda.senate.gov/filings/public/filing/fd11cbd4-2d3e-4f33-b5d6-221c3655bf13/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
16,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2022.0,Q1,https://lda.senate.gov/filings/public/filing/4e7b4153-ed68-4d44-9663-bfb7d1e64d66/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
17,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2022.0,Q2,https://lda.senate.gov/filings/public/filing/d359033c-c9b2-4614-9a0c-d1057dae836a/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
18,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2022.0,Q3,https://lda.senate.gov/filings/public/filing/7685e5b4-7058-405a-8b2f-9384097cd903/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
19,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2022.0,Q4,https://lda.senate.gov/filings/public/filing/f7aba910-9bb6-487a-9875-9e2c766e8ba4/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
20,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2023.0,Q1,https://lda.senate.gov/filings/public/filing/ea498be7-bb6c-4e68-b638-716f372aa8ca/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
21,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2023.0,Q2,https://lda.senate.gov/filings/public/filing/f04acde5-dc39-4238-bc35-6adc0450e50a/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
22,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2023.0,Q4,https://lda.senate.gov/filings/public/filing/cdc1df5e-28f6-4cca-9be2-e4ad1c4af258/print/,7500.0,,,,160675,58636,58636-160675,35285,ENS
23,ENS,ENERSYS ADVANCE SYSTEMS INC,Batteries and Power supply,US,2023.0,Q3,https://lda.senate.gov/filings/public/filing/c9858348-3879-4d24-bc8e-73cf99bfef9c/print/,10000.0,,,,160675,58636,58636-160675,35285,ENS
24,ENS,"ENERSYS DELAWARE, INC.",Manufacturer and supplier of industrial batteries.,US,2021.0,Q3,https://lda.senate.gov/filings/public/filing/bb2c7bbe-f633-454d-bdbe-eef26d588bac/print/,20000.0,,,,210919,73271,73271-210919,35943,ENS
25,ENS,"ENERSYS DELAWARE, INC.",Manufacturer and supplier of industrial batteries.,US,2021.0,Q4,https://lda.senate.gov/filings/public/filing/ea01c361-4c48-4fcb-824e-be934aa6f222/print/,20000.0,,,,210919,73271,73271-210919,35943,ENS
26,ENS,"ENERSYS DELAWARE, INC.",Manufacturer and supplier of industrial batteries.,US,2022.0,Q1,https://lda.senate.gov/filings/public/filing/f241715c-e39f-4b4b-ab2f-c0a4a12925ab/print/,20000.0,,,,210919,73271,73271-210919,35943,ENS
27,ENS,"ENERSYS DELAWARE, INC.",Manufacturer and supplier of industrial batteries.,US,2022.0,Q2,https://lda.senate.gov/filings/public/filing/668b6925-61bb-4465-a81a-2a081bb4718b/print/,10000.0,,,,210919,73271,73271-210919,35943,ENS
0,ATRA,"ATARA BIOTHERAPEUTICS, INC.",Biotechnology company,US,2021.0,Q1,https://lda.senate.gov/filings/public/filing/ff6adb77-6775-47a6-b2f1-30611823aca3/print/,40000.0,,,,208599,21632,21632-208599,30750,ATRA
1,ATRA,"ATARA BIOTHERAPEUTICS, INC.",Biotechnology company,US,2021.0,Q2,https://lda.senate.gov/filings/public/filing/aeabaa39-ed5a-4565-967a-c516c1ef86d9/print/,60000.0,,,,208599,21632,21632-208599,30750,ATRA
2,ATRA,"ATARA BIOTHERAPEUTICS, INC.",Biotechnology company,US,2021.0,Q3,https://lda.senate.gov/filings/public/filing/7bc97240-f36f-4037-b16d-d7958c17cf23/print/,60000.0,,,,208599,21632,21632-208599,30750,ATRA
3,ATRA,"ATARA BIOTHERAPEUTICS, INC.",Biotechnology company,US,2021.0,Q4,https://lda.senate.gov/filings/public/filing/640a180e-d1a7-485c-91b1-c9291139f5d5/print/,60000.0,,,,208599,21632,21632-208599,30750,ATRA
4,ATRA,"ATARA BIOTHERAPEUTICS, INC.",Biotechnology company,US,2022.0,Q1,https://lda.senate.gov/filings/public/filing/5fba2241-0404-4522-b49c-21d2c7ae5ecf/print/,60000.0,,,,208599,21632,21632-208599,30750,ATRA
5,ATRA,"ATARA BIOTHERAPEUTICS, INC.",Biotechnology company,US,2022.0,Q2,https://lda.senate.gov/filings/public/filing/db76e9bd-4dca-4fa4-b97b-22dd631c0e49/print/,60000.0,,,,208599,21632,21632-208599,30750,ATRA
6,ATRA,"ATARA BIOTHERAPEUTICS, INC.",Biotechnology company,US,2022.0,Q3,https://lda.senate.gov/filings/public/filing/f0c7f8a6-899d-43c9-b292-b53c1e23a02d/print/,60000.0,,,,208599,21632,21632-208599,30750,ATRA
7,ATRA,"ATARA BIOTHERAPEUTICS, INC.",Biotechnology company,US,2022.0,Q4,https://lda.senate.gov/filings/public/filing/334cecd4-8a7a-4b37-b414-cd1609abbafe/print/,60000.0,,,,208599,21632,21632-208599,30750,ATRA
8,ATRA,"ATARA BIOTHERAPEUTICS, INC.",Biotechnology company,US,2023.0,Q1,https://lda.senate.gov/filings/public/filing/cbccb2b6-dc6b-4d41-a6cc-dec3b3e3f868/print/,60000.0,,,,208599,21632,21632-208599,30750,ATRA
9,ATRA,"ATARA BIOTHERAPEUTICS, INC.",Biotechnology company,US,2023.0,Q2,https://lda.senate.gov/filings/public/filing/d9017025-9af1-4c7b-ab77-8a906b3b95a2/print/,60000.0,,,,208599,21632,21632-208599,30750,ATRA
10,ATRA,"ATARA BIOTHERAPEUTICS, INC.",Biotechnology company,US,2023.0,Q3,https://lda.senate.gov/filings/public/filing/eaff8a79-5070-4ce5-9a00-9fefe9505546/print/,60000.0,,,,208599,21632,21632-208599,30750,ATRA
11,ATRA,"ATARA BIOTHERAPEUTICS, INC.",Biotechnology company,US,2023.0,Q4,https://lda.senate.gov/filings/public/filing/54e1f7d2-bdb3-4b11-9f98-9a6255039837/print/,60000.0,,,,208599,21632,21632-208599,30750,ATRA
